Country,Plant,p90_1200,p00_1200,p10_1200,p90_30,p00_30,p10_30,p90_75,p00_75,p10_75,p90_150,p00_150,p10_150,p90_600,p00_600,p10_600,p90_300,p00_300,p10_300
SWEDEN,AGESTA,187382000,188684000,188250000,1290370,1430100,1500960,1749300,1943540,2039670,2615240,2819430,2958820,27278800,27487400,27970900,5013240,5227700,5471110
SPAIN,ALMARAZ,136675000,147718000,163429000,48345.2,47108.5,53055.4,387982,380366,427595,1780790,1760250,1976690,45748100,47356200,52724300,17756500,18187800,20185200
BRAZIL,ANGRA,99195200,113894000,127898000,129499,136945,153022,1185920,1269060,1420200,12729100,13810300,15497100,63210700,71962200,80782600,39546400,44701700,50210600
UNITED STATES OF AMERICA,ARKANSAS ONE,117830000,132729000,146482000,75433.4,83087.4,91498,197016,218462,240679,1638330,1835830,2025750,30481100,34037700,37542200,5603180,6226360,6866840
SPAIN,ASCO,271854000,287134000,308922000,52259.6,52798.8,59487.4,849379,884514,996212,6124550,6282850,7074890,51672500,54943800,61100300,14398500,15095600,16830700
ARGENTINA,ATUCHA,60272900,68789800,76396900,133755,147876,162171,1598790,1747870,1922590,12958400,14114800,15525900,26158200,28768900,31350300,17957600,19753900,21564000
GERMANY,AVR,377877000,387602000,400550000,1562750,1623110,1623720,10809200,11209400,11299200,27825400,29012000,29541900,182292000,187871000,193304000,71747700,75061700,76803300
RUSSIAN FEDERATION,BALAKOVO,137788000,136185000,129784000,275014,246607,234966,561456,504864,481221,1896020,2049130,1959450,28705600,30874600,29625500,8561830,8735520,8403590
SWEDEN,BARSEBACK,346757000,353269000,359403000,1311470,1367250,1414410,2714440,2835740,2936350,3715050,3860280,3995040,72790700,74017600,74669600,14322300,14656900,14944100
UNITED STATES OF AMERICA,BEAVER VALLEY,169815000,184040000,203113000,405510,402735,444309,3099760,3095980,3415270,7837650,7883460,8699940,94368900,100718000,111170000,20035700,20656500,22782900
BULGARIA,BELENE,293388000,298116000,301376000,219381,198844,187709,1591650,1451020,1369220,8413960,7682390,7294060,84309900,86968900,87086600,24514200,22983200,21954200
FRANCE,BELLEVILLE,357202000,367682000,384157000,93007.3,94087.6,99715.4,859988,868248,920199,6310730,6429430,6815150,160330000,166523000,173629000,30802000,31568500,33466400
RUSSIAN FEDERATION,BELOYARSKY,54137000,55356600,53607400,354917,342104,328525,2497290,2413990,2319770,4090080,3976580,3814180,23352000,22655000,21833400,9629590,9448380,9052930
UNITED KINGDOM,BERKELEY,274045000,282932000,295143000,919885,933832,980568,4161570,4248630,4462070,18171900,18668600,19610500,111509000,115476000,122129000,48228300,49608700,52144200
SWITZERLAND,BEZNAU,403241000,412686000,425379000,966786,1036220,1091490,5227290,5588150,5848000,12792600,13665000,14172900,178583000,184027000,190063000,51820800,54299600,55934500
GERMANY,BIBLIS,401883000,411272000,423496000,1417970,1507860,1502600,6892210,7282490,7257690,19318100,20448200,20470900,187800000,193281000,198766000,67225800,70487100,71265900
UNITED STATES OF AMERICA,BIG ROCK POINT,157140000,167851000,185250000,47833.6,49856.5,54643.1,184289,192899,211402,580067,608040,666867,43008400,46712000,51572300,4465530,4700450,5175490
RUSSIAN FEDERATION,BILIBINO,355876,326037,303458,305.183,288.958,275.935,2505.34,2450.94,2334.34,10966.2,11085.9,10555.4,78535.9,84337.6,78982.6,35863.9,36419.6,34535.7
FRANCE,BLAYAIS,324571000,338985000,359742000,123094,130964,138711,1439210,1533530,1625600,3052570,3198710,3390720,66468400,68897300,74313800,13452700,13956500,14949600
KAZAKHSTAN,BN-350,121497000,133770000,142928000,49687.9,158157,167590,54288.9,163930,173642,152033,229890,242960,16098500,17070600,17503600,265382,337986,352088
SLOVAK REPUBLIC,BOHUNICE,404398000,408678000,411500000,363231,375246,380731,2459420,2539280,2577920,10362900,10830300,11017500,130587000,130588000,129958000,38248900,38802100,38974400
UNITED STATES OF AMERICA,BONUS,48677600,56999000,65235000,290708,306038,319913,944526,1028090,1077300,3343220,3621520,3797900,16583200,19628400,22431000,7205840,8025120,8852240
NETHERLANDS,BORSSELE,346709000,356769000,369786000,424138,439182,459171,5297620,5467160,5734860,21618600,22448900,23574600,175806000,182443000,188762000,69169200,71577800,74399800
UNITED KINGDOM,BRADWELL,311498000,321056000,334349000,814133,825746,867585,7332110,7435970,7813190,19866200,20113500,21138200,148458000,154113000,160882000,62678800,64530100,67825700
UNITED STATES OF AMERICA,BRAIDWOOD,156651000,170891000,188557000,101823,101482,112031,3299010,3543800,3919030,10085400,11227800,12410000,57913900,61797100,68213000,20784400,22610900,24967600
FRANCE,BRENNILIS,274871000,284927000,299708000,148635,152257,161339,1146210,1175480,1246090,2130600,2211730,2344540,83738500,86028300,91380600,8529040,8949220,9461630
GERMANY,BROKDORF (KBR),369599000,378067000,387651000,322320,339284,338500,3948220,4158950,4169960,8530940,8969750,9056980,125921000,129343000,131297000,32487300,33718500,34025400
UNITED STATES OF AMERICA,BROWNS FERRY,152506000,170975000,188677000,144627,155692,171690,792341,861088,949678,2667550,2955500,3260990,40519200,45784000,50512800,12084100,14093000,15558300
CANADA,BRUCE,160596000,172787000,190694000,28509.5,30957.8,33890.8,146571,160081,175530,1288160,1423860,1567070,53589200,57428500,63366900,16485400,18151800,20044100
GERMANY,BRUNSBUETTEL,367429000,375938000,385631000,210615,221908,222491,3357230,3536670,3551050,8394130,8835380,8923930,124875000,128259000,130246000,31249000,32526700,32841200
UNITED STATES OF AMERICA,BRUNSWICK,146981000,161686000,178448000,81207.6,100369,110756,276982,340443,375581,1154930,1402570,1546400,27940800,33025700,36437600,6584180,7918540,8737920
FRANCE,BUGEY,393058000,406940000,426281000,633423,670040,710411,3298120,3462240,3670190,7551130,7928470,8408140,134095000,139127000,145588000,28688000,29784700,31495500
"IRAN, ISLAMIC REPUBLIC OF",BUSHEHR,89927200,111861000,133720000,156625,186951,210345,376669,451661,506779,968609,1161280,1301970,24677000,31353400,37944200,8157970,9888910,11819200
UNITED STATES OF AMERICA,BYRON,136157000,148092000,163395000,201326,202842,223299,897137,899351,990627,10420700,11608700,12830900,53400300,57095100,63023300,18058800,19644600,21694900
UNITED STATES OF AMERICA,CALLAWAY,135052000,150663000,166252000,35076.9,37361.3,41057.5,397857,425214,467861,3093010,3278930,3620610,41371600,44919800,49581100,8619970,9070210,9999700
UNITED STATES OF AMERICA,CALVERT CLIFFS,157471000,171206000,188950000,124278,139015,153358,2133680,2338240,2581100,8924550,9690540,10699700,74820200,79431900,87658200,24120600,25922000,28615500
ITALY,CAORSO,412223000,424733000,439721000,508301,508919,535157,5833920,5838310,6139940,17165400,17211600,18105500,113027000,116611000,120843000,37410700,38015100,39997700
UNITED STATES OF AMERICA,CATAWBA,170063000,186731000,206094000,523864,635459,701829,1591670,1929690,2131130,4757730,5652980,6238590,45735600,52365800,57778500,13063800,15473800,17067500
FRANCE,CATTENOM,384904000,394524000,408070000,688205,742025,799576,2914410,3070970,3222550,9257130,9657560,9986510,189140000,195124000,201473000,74983600,78173500,80408000
CHINA,CEFR,701332000,777851000,829594000,2514590,2885990,3083200,13545100,15749800,16823200,33719500,38515900,41141500,248837000,275373000,294152000,81160100,91306200,97528200
ROMANIA,CERNAVODA,281888000,287239000,290254000,144504,141577,135785,1217390,1185700,1134140,4604160,4340090,4119280,77292000,79217200,78899400,17659600,16522800,15645700
CHINA,CHANG JIANG,454295000,518955000,563129000,155257,176788,188791,915267,1060310,1132300,3515430,4106060,4385090,101701000,121972000,133551000,19836800,23572300,25621500
UNITED KINGDOM,CHAPELCROSS,219037000,226796000,235499000,172150,178514,187362,528023,547292,574248,7757030,8021100,8426280,63620300,65678700,69605900,28590600,29891600,31664700
PAKISTAN,CHASNUPP,424183000,546171000,651723000,427963,548451,680970,2299060,2968260,3686880,11292800,14458900,18002800,148151000,194747000,240440000,70198600,89264100,111771000
UKRAINE,CHERNOBYL,287778000,283710000,276220000,29149.3,27202.8,25267.4,296737,277725,258095,6288740,6073020,5670440,74789300,71484900,67083200,16960500,16238500,15175300
"TAIWAN, CHINA",CHIN SHAN,517341000,593088000,637718000,3850630,4263870,4638170,7838760,9017330,9802370,9933150,11613500,12624300,102605000,119006000,127518000,29644200,34080400,36758700
FRANCE,CHINON,325360000,335420000,352036000,157520,164919,174841,1486950,1555800,1649300,4988830,5238780,5553450,106765000,110151000,116448000,27084100,28029400,29709700
FRANCE,CHOOZ,366235000,376041000,389568000,187424,190349,200088,2397450,2443070,2566310,16697400,17158300,18000300,186405000,193436000,199966000,72891400,75810400,78417200
FRANCE,CIVAUX,341770000,353842000,372856000,181132,191510,202972,712129,736610,780750,4148650,4271780,4528170,105244000,108529000,115379000,22042800,22778400,24146300
UNITED STATES OF AMERICA,CLINTON,153450000,168495000,185910000,48945.6,48944.7,53830.3,655508,654389,719394,2191630,2199670,2417970,55715900,59788100,65988400,19676200,21361900,23586100
SPAIN,COFRENTES,184416000,197936000,217050000,34698.7,35950.1,40488.5,2158270,2247850,2533050,4820430,5143500,5795290,56486900,60910700,68808100,13817900,14740200,16607600
UNITED STATES OF AMERICA,COLUMBIA,30059700,37177300,41011300,80304.9,90534.1,99765.8,296249,335851,369842,693521,786639,865691,11979300,14682700,16205700,6085660,7455210,8231360
UNITED STATES OF AMERICA,COMANCHE PEAK,74679700,84245200,93067100,42695.5,53174.8,58744.4,944409,1176100,1298720,4858050,6069330,6702970,23666400,28222900,31143100,8322640,10334100,11398500
UNITED STATES OF AMERICA,COOPER,102304000,113412000,125150000,16763.6,17263.5,18941.9,129561,135554,149032,1698430,1799730,1987940,23481900,24917500,27489700,5829630,6163090,6802180
FRANCE,CREYS-MALVILLE,394827000,408768000,427934000,290020,315344,334339,3820540,4046370,4291000,7517460,7906330,8384640,133688000,138680000,145063000,32401300,33570700,35478900
FRANCE,CRUAS,387352000,401958000,422982000,219207,232369,246286,1135680,1203550,1275600,7112390,7552730,8006540,101853000,105539000,111602000,21934900,22966600,24330700
UNITED STATES OF AMERICA,CRYSTAL RIVER,75082600,86926800,95020000,68301.6,85574.4,94302,564734,704701,776100,4435000,5537500,6105520,22223000,27799200,30677800,8208280,10462800,11532000
UNITED STATES OF AMERICA,CVTR,162786000,179174000,197757000,126400,148856,164388,767289,889941,981861,3996670,4725970,5215740,35849900,42366000,46733700,13881800,16900000,18650000
FRANCE,DAMPIERRE,349524000,359755000,375806000,112946,114252,121083,1092400,1121730,1189150,13708700,14050700,14895100,161503000,167782000,174969000,30513900,31249000,33122300
CANADA,DARLINGTON,155466000,166863000,184163000,373749,406269,448561,3502330,4071790,4504350,8614170,9687990,10698300,85637300,89942900,99280300,14120900,15467300,17049700
UNITED STATES OF AMERICA,DAVIS BESSE,175679000,190105000,209809000,88250,91130.9,100532,1591550,1659760,1833630,9821020,10274400,11353600,71377000,76071800,83943100,25467300,26557600,29309000
UNITED STATES OF AMERICA,DIABLO CANYON,43395600,53325900,58872400,131515,142904,156854,397586,431342,473770,751135,819054,900599,32513000,38471600,42477900,15640300,17478200,19298600
NETHERLANDS,DODEWARRD,361533000,371563000,383905000,1289490,1387710,1452520,7569980,8125800,8473750,31599100,33199600,34134700,184243000,190602000,196312000,60522100,63312900,64961000
BELGIUM,DOEL,352780000,362758000,375746000,1414550,1468920,1542300,8338230,8619660,9035590,25138900,26143300,27365500,180638000,187390000,193737000,62266800,64743400,67013900
UNITED STATES OF AMERICA,DONALD COOK,170697000,184809000,203963000,128468,135451,149313,959452,1036770,1144060,10810600,12212000,13500700,59518900,63301100,69865300,26510400,28692400,31690700
CANADA,DOUGLAS POINT,160602000,172794000,190702000,28339.9,30773.7,33689.1,145585,158994,174334,1277550,1411920,1553900,53602200,57441900,63381800,16493100,18160000,20053200
UNITED KINGDOM,DOUNREAY,159702000,165615000,172960000,14049.7,14175.3,14851.7,51013.8,51468.9,53921.4,328583,329835,346025,21740200,22691100,24008400,2832190,2884250,3028910
UNITED STATES OF AMERICA,DRESDEN,153315000,167114000,184382000,306135,301812,333097,5615640,6105190,6753500,10106000,11278300,12466400,57497100,61339400,67708300,20846600,22674900,25039200
UNITED STATES OF AMERICA,DUANE ARNOLD,118578000,130374000,143865000,202957,208659,230302,589289,607639,670628,1726100,1769080,1951240,40053200,43136400,47605300,7846230,8018350,8836580
CZECH REPUBLIC,DUKOVANY,413858000,417332000,420817000,259313,285450,293314,1569040,1726500,1773270,8571760,9119070,9398270,145181000,146716000,146721000,40379600,40853800,41214900
UNITED KINGDOM,DUNGENESS,315492000,325081000,338729000,260979,263792,277061,2710510,2740520,2882280,19287000,19466500,20478800,150710000,156436000,163164000,64978100,66581200,70105300
UNITED STATES OF AMERICA,ELK RIVER,87169500,94675800,104502000,463054,507076,560687,2807990,3083660,3410140,3640890,3996710,4415960,21390900,23075200,25467500,5741960,6251040,6894470
ARGENTINA,EMBALSE,54418200,62146200,68841800,66325,73475.4,80584,272790,306417,336725,2273000,2535880,2792150,17904100,20248800,22300200,3562500,3964010,4358870
GERMANY,EMSLAND (KKE),366541000,376059000,387036000,435864,470606,471029,3243470,3467830,3514340,21197000,22411100,22745200,171263000,176234000,180746000,60937900,63812600,64914400
UNITED STATES OF AMERICA,ENRICO FERMI,175191000,189505000,209148000,323072,337375,373160,4831060,5112790,5652930,9349850,9849950,10881900,66255400,70626200,77931900,23105800,24212500,26718500
CHINA,FANGCHENGGANG,562135000,624653000,674161000,266698,303649,324411,1531080,1725150,1859300,8327870,9231350,9917050,148582000,177822000,192765000,53472600,62398900,68074600
UNITED STATES OF AMERICA,FARLEY,115652000,131293000,144314000,76433.7,85397.3,94052.4,325135,371854,409308,1478650,1791520,1971000,31355300,37363600,41219900,6582380,7989280,8810470
FRANCE,FESSENHEIM,396771000,406319000,419486000,841308,893563,927232,3784790,4019470,4186240,13566100,14412200,14941600,180462000,186150000,192348000,46348600,48748700,50140400
UNITED STATES OF AMERICA,FITZPATRICK,144043000,154200000,170190000,93160.9,94878.4,104261,808132,827302,908344,2975220,3062990,3362120,87677200,92126400,101703000,16714000,17971400,19800900
FRANCE,FLAMANVILLE,301048000,310276000,324943000,146580,153567,162804,440331,459970,482283,3027120,3158070,3333580,111609000,115331000,121909000,35590100,36398300,38346700
SWEDEN,FORSMARK,142411000,141956000,141386000,21071.4,21768.1,22774.8,306450,325603,341618,2454300,2643440,2774370,19744300,19896300,20473400,4825700,5037410,5274010
UNITED STATES OF AMERICA,FORT CALHOUN,90267400,99427900,109717000,262057,276199,305507,810271,853916,944487,1603280,1686850,1862470,21039900,22291200,24591500,4710600,4966070,5479430
UNITED STATES OF AMERICA,FORT ST. VRAIN,42240900,50775200,56045600,250388,345676,381004,1873960,2611200,2885610,2420540,3337760,3688010,6447510,8282070,9138860,3179820,4327170,4777480
JAPAN,FUGEN ATR,202199000,213288000,217826000,253521,263673,264365,2448050,2521900,2528250,28557200,29345500,29416400,109082000,112376000,112654000,50392100,51649200,51765200
JAPAN,FUKUSHIMA-DAIICHI,146853000,150507000,151824000,147202,170201,170590,1680110,1732640,1736880,7367590,7621350,7639530,87236500,90286400,90496600,50653100,52755200,52880500
JAPAN,FUKUSHIMA-DAINI,146390000,149997000,151284000,193878,212499,213002,1552580,1602190,1606050,7654680,7922000,7940820,87819200,90883500,91095400,51053600,53173900,53300200
CHINA,FUQING,604359000,689401000,739602000,811965,913782,976424,5759170,6548340,6996730,15098800,17222300,18401800,144265000,167752000,179646000,48361000,55773700,59924100
ITALY,GARIGLIANO,293442000,303382000,314310000,359926,360436,378879,4483060,4544400,4779810,11283600,11346800,11931300,67191600,66969600,69817300,18611500,18675400,19635200
JAPAN,GENKAI,424437000,458756000,480567000,260892,262461,262925,4171050,4282960,4293390,9792530,9940390,9964370,88985300,93150400,95374200,31192800,30490300,31083400
CANADA,GENTILLY,104236000,109876000,121269000,177293,179677,197902,555862,598151,659087,5093060,5382770,5950170,29836200,30982400,34152000,8389970,8830950,9751190
SWITZERLAND,GOESGEN,403982000,413848000,427255000,839058,895449,944381,5030140,5365750,5646100,11801400,12585500,13152800,176068000,181541000,187574000,50139600,52465900,54251500
FRANCE,GOLFECH,338318000,354127000,376412000,170818,173125,183498,1187470,1269710,1345960,4562180,4821590,5114570,72789300,75618000,81690400,13983600,14628900,15747200
GERMANY,GRAFENRHEINFELD (KKG),413743000,422833000,433484000,502966,517406,515239,2432690,2521680,2511040,15591400,16274800,16213000,189141000,194730000,199534000,65037000,67465800,67586100
UNITED STATES OF AMERICA,GRAND GULF,108263000,123795000,136637000,22064.2,23573.8,25968,247996,264549,291556,1317180,1409270,1554290,27857200,32088900,35406400,7039640,7471240,8243410
FRANCE,GRAVELINES,330200000,340048000,353498000,440305,439744,463778,2321100,2333140,2461330,12132800,12327200,12979200,163528000,169927000,176428000,66836900,68743300,72273700
GERMANY,GREIFSWALD,384699000,390631000,397172000,153361,145030,144483,762483,721895,718667,3179570,3072030,3062630,113248000,115373000,115757000,24628100,24806500,24850000
GERMANY,GROHNDE (KWG),389126000,397887000,407990000,453821,482041,480240,4479210,4728120,4709470,13882900,14499700,14513900,151554000,156431000,159244000,64161100,66262600,66621000
CHINA,GUANGDONG,615931000,702252000,758819000,2248060,2843290,3108290,20241900,25613400,27614300,35704200,46355400,49866500,165562000,199658000,213697000,64757000,85134500,91288100
GERMANY,GUNDREMMINGEN,417475000,425981000,436669000,403660,428225,426522,3167890,3385220,3374060,15303600,16399300,16418100,194306000,199901000,205112000,46367800,48856000,49522300
UNITED STATES OF AMERICA,H.B. ROBINSON,164983000,181360000,200175000,68794.1,79909,88058,610924,711013,783466,3576560,4266590,4707490,35070600,41259200,45512900,11237100,13457700,14847800
UNITED STATES OF AMERICA,HADDAM NECK,124994000,133346000,147169000,513131,516059,569379,3444150,3495280,3853750,18951200,19600200,21659900,67296000,70392100,77698600,39343800,40924800,45200500
CHINA,HAIYANG,742392000,820894000,873598000,572371,620118,662216,2904770,3156540,3371740,14852000,16200500,17306000,304156000,334594000,356342000,36147200,39052100,41715800
UNITED STATES OF AMERICA,HALLAM,92468000,102550000,113158000,143338,154878,171172,346556,373512,412470,1428070,1512960,1670360,19872000,21231700,23430400,5367940,5673310,6262810
JAPAN,HAMAOKA,178753000,187258000,190251000,576017,590205,591440,2843390,2948970,2954850,15693200,16352400,16386400,99327600,102509000,102745000,77438900,80416400,80605500
UNITED KINGDOM,HARTLEPOOL,242766000,250759000,259926000,974294,999111,1049370,2778400,2854460,2997850,10587000,11037600,11593300,88535800,91743800,96904000,30164900,31441100,33026200
UNITED STATES OF AMERICA,HATCH,122801000,136465000,149999000,35117.3,48631.3,53378.1,239685,327411,359960,1116100,1503280,1654620,32458300,39365400,43420100,8795240,11188800,12342100
GERMANY,HDR GROSSWELZHEIM,406062000,415443000,427213000,1836500,1931090,1923870,5974460,6299760,6276370,17241000,18156000,18092200,186182000,191722000,196903000,70126600,73183300,73708200
UNITED KINGDOM,HEYSHAM,233597000,241907000,251268000,616374,640438,672572,4532900,4747890,4988390,14900400,15561800,16348300,79849800,82596900,87409600,37255400,38828700,41074500
JAPAN,HIGASHI DORI,134019000,138803000,140340000,75939.2,73265.1,73199.1,665636,655458,656409,2555500,2527280,2531960,28009300,28659400,28721100,9425610,9449900,9474560
UNITED KINGDOM,HINKLEY POINT A,274752000,284070000,296949000,457433,466511,490020,3775860,3850100,4043750,9264400,9452150,9925570,106702000,110371000,116800000,44654000,45911600,48281800
UNITED KINGDOM,HINKLEY POINT B,274794000,284112000,296991000,460257,469359,493008,3775750,3849990,4043630,9299280,9487940,9963160,106751000,110424000,116856000,44698100,45956900,48328400
CHINA,HONGYANHE,648474000,715153000,761127000,190123,197606,211065,1766850,1841830,1967100,10848200,11368000,12143100,213738000,237752000,253038000,47920800,51763300,55273000
UNITED STATES OF AMERICA,HOPE CREEK,151482000,164220000,181257000,347048,371085,410359,4407790,4676070,5167860,15152500,16054500,17728700,80615200,85619800,94507000,41232100,43557500,48119200
UNITED STATES OF AMERICA,HUMBOLDT BAY,46586800,55885500,61690000,102640,109765,120459,117827,126079,138234,196506,211964,232264,13932800,17058300,18805600,1621160,1864860,2047680
UNITED KINGDOM,HUNTERSTON A,183857000,190708000,198622000,366686,380463,399969,2216830,2298500,2416050,4910820,5090440,5350730,57583000,59510600,63126200,16756300,17492800,18668600
UNITED KINGDOM,HUNTERSTON B,183906000,190758000,198672000,375978,390102,410103,2228280,2310210,2428350,4910400,5089420,5349600,57579400,59507100,63122400,16768800,17505700,18681300
LITHUANIA,IGNALINA,261091000,255094000,248242000,109016,98738.8,92353,569695,519705,487838,2780400,2592060,2432500,48802400,47080100,45361500,12778800,12156400,11519200
JAPAN,IKATA,290619000,311378000,322921000,142455,140091,140433,1901330,1870960,1875330,9514100,9527440,9548380,86478000,86898000,88100600,28922500,29124100,29189200
UNITED STATES OF AMERICA,INDIAN POINT,138491000,148816000,164264000,947619,981213,1079650,15037100,15711500,17376200,23953200,24943400,27569100,79187500,83567100,92250000,43882200,45617300,50369700
GERMANY,ISAR,431842000,438936000,447751000,299978,314738,313911,3015940,3212450,3207240,10170500,10849900,10914900,179329000,183487000,186476000,40695900,41831800,42340300
SPAIN,JOSE CABRERA,176511000,188969000,207338000,33157.7,34811.2,39226.4,3206870,3456120,3894370,6112990,6522570,7349310,57647100,59926300,66736300,15285700,15944300,17962400
JAPAN,JPDR,150088000,153878000,155325000,895469,928147,930074,3922160,4109220,4117750,35441800,37207900,37296000,91887500,95005300,95226400,52772100,55009400,55137900
INDIA,KAIGA,411477000,487089000,565595000,236436,288840,336011,1807930,2181460,2538040,9049370,10975800,12771100,164648000,200482000,233326000,35497700,43529800,50642200
INDIA,KAKRAPAR,658974000,816024000,958281000,734920,937789,1090780,6152050,7973780,9281450,17406200,22464600,26144700,173117000,213812000,249017000,74280500,93957100,109390000
RUSSIAN FEDERATION,KALININ,162839000,157737000,151079000,48738.9,46746.2,44554.3,276471,266020,253938,1345580,1285510,1229070,50160600,47184700,45196600,17114300,16374400,15693900
PAKISTAN,KANUPP,362335000,468951000,562120000,4334310,5715780,7170590,8682420,11534100,14461000,9425640,12515000,15681900,49801200,65145600,79339100,19337200,25170100,31379300
JAPAN,KASHIWAZAKI KARIWA,198061000,208473000,212670000,441254,439779,440634,2137560,2139670,2144370,8130020,8281620,8299440,97846900,100987000,101220000,62329700,64848600,64999900
UNITED STATES OF AMERICA,KEWAUNEE,149133000,160154000,176752000,68771,70141.7,77262.8,644479,674402,744800,2109400,2215890,2448260,44234300,47482700,52413200,14543000,16003500,17672200
UKRAINE,KHMELNITSKI,323652000,320921000,315137000,183731,183808,171175,1299740,1276300,1186900,4825800,4668710,4338980,93891800,91464500,87240400,22641400,21934500,20469200
GERMANY,KNK,402229000,411695000,423884000,1206620,1285570,1281350,6486230,6931110,6927230,18654200,19831600,19910000,188339000,193903000,199585000,60255200,63344000,64120200
SOUTH AFRICA,KOEBERG,12223300,20793600,23360900,425804,432557,488554,3101590,3093880,3490540,3641630,3624840,4085420,4562920,4662100,5249110,3900770,3872590,4362550
RUSSIAN FEDERATION,KOLA,26721200,25591300,25359100,48794.1,42459.8,40652,264855,231334,221159,377985,329556,314790,3428960,3272330,3259810,1121500,981487,944611
"KOREA, REPUBLIC OF",KORI,503755000,544728000,572227000,3455300,3293550,3443400,7157130,6824910,7132010,12971500,12388800,12939100,101408000,107417000,110411000,36899100,36583300,37780800
BULGARIA,KOZLODUY,302829000,307735000,311280000,178630,162531,152691,1588320,1485060,1407320,6571020,6160760,5830430,87564200,89393300,88963500,27529400,26502900,25401900
SLOVENIA,KRSKO,403664000,410409000,416542000,288370,291195,288540,2455150,2490680,2468320,6542160,6611870,6633050,134944000,136539000,138855000,23599400,23516200,24001700
GERMANY,KRUEMMEL,383031000,391300000,400560000,1107690,1170670,1165120,4001450,4197660,4178350,10504200,10930600,10988500,135212000,139112000,140884000,38568200,39373300,39563100
INDIA,KUDANKULAM,223849000,261937000,303370000,578241,647573,753627,3697940,4132700,4809550,11447400,12784200,14878900,114022000,129504000,149312000,38936800,43473000,50093000
"TAIWAN, CHINA",KUOSHENG,511038000,586271000,630625000,4662980,5204850,5660940,7910780,9105960,9898590,10131200,11856600,12888600,100130000,116170000,124488000,28023200,32218000,34776300
