Country,Plant,p90_1200,p00_1200,p10_1200,p90_30,p00_30,p10_30,p90_75,p00_75,p10_75,p90_150,p00_150,p10_150,p90_600,p00_600,p10_600,p90_300,p00_300,p10_300
RUSSIAN FEDERATION,KURSK,226262000,219216000,209513000,180189,174915,166618,996121,922750,882425,3730770,3340000,3167210,82810000,78692100,74393800,16009300,14967000,14150400
UNITED STATES OF AMERICA,LACROSSE,103192000,111204000,122691000,75819.6,77557.8,85400.2,337073,345821,380575,1387490,1439600,1585380,37843000,40772000,44999400,12015800,12803700,14135100
MEXICO,LAGUNA VERDE,101158000,122317000,138024000,93140.3,98038.8,109263,1719250,1814370,2021010,4955940,5461560,6070170,52290300,63229800,70264400,28939500,33739500,37503500
UNITED STATES OF AMERICA,LASALLE,149375000,163363000,180249000,92682.4,90409.4,99746.6,1215100,1212630,1337850,10033700,11129100,12300600,57193400,61118200,67464900,19945800,21708000,23972400
ITALY,LATINA,315172000,325582000,337796000,417043,416879,438277,3960530,3961700,4165060,9155590,9217670,9692850,73121100,73067900,76523300,18304900,18373000,19322300
SWITZERLAND,LEIBSTADT,402014000,411407000,424028000,744823,796552,836411,5217250,5575210,5831050,13210400,14110900,14620500,178852000,184316000,190363000,51796900,54294600,55912300
RUSSIAN FEDERATION,LENINGRAD,146092000,141960000,137957000,89667.7,79662.4,75734.4,4244240,3789890,3627170,5631530,5031740,4830870,23099900,21831900,21209400,10286800,9503120,9282760
RUSSIAN FEDERATION,LENINGRAD-2,146424000,142275000,138253000,90667.1,80546.4,76573.8,4338500,3875260,3709450,5622810,5022880,4821540,23191900,21919400,21290900,10287000,9502370,9281330
UNITED STATES OF AMERICA,LIMERICK,150923000,163161000,180087000,866168,889857,983814,7063070,7377990,8153670,20793200,21849800,24137300,83203600,88148300,97295200,42168000,44101800,48707900
CHINA,LINGAO,616314000,702669000,759257000,2149870,2723510,2978930,20164900,25508800,27502300,35580700,46190300,49689700,165870000,199992000,214056000,64798900,85178800,91335400
GERMANY,LINGEN,366324000,375848000,386831000,429802,464027,464708,3233240,3457600,3505580,21121600,22335200,22671600,171330000,176303000,180822000,60803400,63680100,64782400
FINLAND,LOVIISA,143073000,139492000,136402000,28978.1,29500,30490.6,707271,725318,750353,2795820,2730890,2775200,22731000,21777100,21486400,10565800,9975110,9857120
SWITZERLAND,LUCENS,408801000,421494000,438517000,595136,636170,678006,2450540,2599570,2762700,2450540,2599570,2762700,157009000,162694000,168641000,41229700,42803400,44757900
"TAIWAN, CHINA",LUNGMEN,492734000,566044000,609356000,1215800,1376220,1496450,7350400,8439270,9174270,9558600,11142300,12111900,91654700,106207000,113805000,23837500,27405600,29640300
"TAIWAN, CHINA",MAANSHAN,405894000,474861000,514087000,21197.6,23315.7,25329.4,372495,420677,457374,4444470,4954890,5387170,62191400,74671800,80805900,10436200,12048300,13099300
INDIA,MADRAS,356322000,421981000,489751000,479181,527283,613974,9180500,10301200,12001000,18878800,21418400,24936500,172857000,199885000,231978000,48114200,55720800,64848800
UNITED STATES OF AMERICA,MAINE YANKEE,101509000,107334000,118473000,99143.1,99032.8,109327,629799,642149,708911,1412410,1451090,1601730,47075200,48971700,54067800,10260800,10655600,11757400
FRANCE,MARCOULE,384211000,399138000,420679000,443881,473187,501516,1637690,1751470,1856400,5977680,6433890,6820600,92285700,95407500,101270000,20471600,21507700,22803100
UNITED STATES OF AMERICA,MCGUIRE,172775000,189524000,209171000,555028,678622,749742,1811570,2205390,2435800,4540730,5418300,5979220,49785800,56461400,62299500,12974400,15252900,16821600
ARMENIA,METSAMOR,174554000,199109000,224703000,991817,838522,833815,2901690,2506560,2533920,5295410,4843510,4979670,55951000,61218100,67532000,17762900,17739000,18447000
JAPAN,MIHAMA,202011000,213084000,217609000,192535,199732,200216,2677560,2758250,2764770,29668900,30470200,30543600,109707000,112992000,113291000,49528500,50742400,50856300
UNITED STATES OF AMERICA,MILLSTONE,123390000,131662000,145239000,271048,273452,301696,2349500,2372870,2617300,13170600,13582500,14999100,65727300,68655400,75783500,37457000,38970600,43045900
SLOVAK REPUBLIC,MOCHOVCE,406662000,412473000,415677000,287838,295323,299675,1968770,2031880,2040780,10078700,10298400,10273300,126000000,125862000,124929000,36676900,37364500,37349200
BELGIUM,MOL,363677000,373576000,386624000,821986,861882,906187,8623670,8948150,9370440,31733600,33095300,34205500,186206000,192953000,199040000,62531200,65249200,67081600
JAPAN,MONJU,202256000,213352000,217894000,222449,231323,231914,2461650,2535450,2541690,28964200,29757100,29829000,109348000,112640000,112926000,49890000,51122900,51237600
UNITED STATES OF AMERICA,MONTICELLO,85824900,93304800,102992000,136952,149945,165697,2241820,2464100,2724930,3598700,3957090,4372220,19224600,20571300,22698800,5834420,6347020,7001210
SWITZERLAND,MUEHLEBERG,408530000,420291000,436176000,792570,837164,888974,3067570,3248480,3442050,9874040,10491200,11065100,164418000,170355000,176366000,45100300,46997100,48900200
GERMANY,MUELHEIM-KAERLICH,393119000,402690000,415402000,716396,751981,749135,5239550,5489810,5474180,26663700,27879900,27994500,188298000,193718000,199306000,75101300,78693200,80066300
GERMANY,MZFR,402220000,411686000,423875000,1205750,1284580,1280350,6463160,6906020,6901630,18670000,19847900,19926000,188349000,193912000,199593000,60318700,63408500,64184900
INDIA,NARORA,818999000,1007240000,1188970000,1477190,1874610,2181780,10402700,13651600,15889100,49020100,67329000,78364000,286428000,361206000,423435000,115482000,153113000,178411000
GERMANY,NECKARWESTHEIM,408456000,417755000,429469000,1501390,1612580,1606760,6637260,7108340,7083460,18916500,20140200,20152700,192848000,198533000,204194000,54555300,57413200,58054100
GERMANY,NIEDERAICHBACH,431848000,438935000,447740000,301518,316290,315460,2975780,3168890,3163940,10166700,10845700,10912000,179290000,183443000,186428000,40674200,41806600,42317700
UNITED STATES OF AMERICA,NINE MILE POINT,144100000,154264000,170260000,91682.5,93372.7,102606,806980,826024,906962,2980560,3068580,3368270,87731300,92183000,101766000,16670600,17927100,19751900
CHINA,NINGDE,661236000,746428000,798195000,368916,411324,439384,3234110,3644640,3892980,12615700,14461900,15449200,195076000,223501000,239141000,49826700,56971900,61043200
FRANCE,NOGENT,363040000,373203000,388623000,113353,118290,125208,1650400,1691200,1792290,14227000,14579800,15455900,177440000,184506000,191700000,40201000,41199500,43501800
UNITED STATES OF AMERICA,NORTH ANNA,165059000,179801000,198434000,75570.1,80728.2,89181.9,1267780,1389210,1533340,6839940,7391310,8158280,76867800,82044200,90551600,19539200,21443800,23662700
RUSSIAN FEDERATION,NOVOVORONEZH,193957000,189105000,179942000,143645,142585,137404,1655630,1642210,1579390,3598360,3654710,3501550,74364700,71154100,67486000,14457600,13735500,13028400
RUSSIAN FEDERATION,NOVOVORONEZH-2,194082000,189221000,180063000,117865,116994,112717,1655500,1642210,1579380,3551050,3602740,3451490,74434400,71221800,67548300,14538100,13806300,13093800
RUSSIAN FEDERATION,OBNINSK,190171000,184890000,176098000,193782,188694,179525,2238900,2160150,2069740,19249900,18434300,17672700,61859900,59062400,56380800,28155800,26557700,25433600
GERMANY,OBRIGHEIM,408381000,417729000,429563000,783184,835432,832230,6573540,7021940,6996820,19018400,20200500,20177200,191470000,197088000,202623000,62934700,65998800,66631500
UNITED STATES OF AMERICA,OCONEE,168974000,185969000,205245000,148398,170816,188520,964470,1117390,1232950,3153520,3814810,4208160,41467300,47777000,52697900,14040700,17017600,18777200
JAPAN,OHI,202584000,213742000,218316000,154200,157914,158114,4497130,4609430,4619330,30197300,30977500,31051600,113279000,116460000,116894000,47688000,48790100,48900000
JAPAN,OHMA,141445000,146830000,148828000,60490.5,58950.7,59024.3,683223,670618,671939,2692450,2664300,2668850,23820000,24241700,24287100,9006430,9020240,9044230
UNITED KINGDOM,OLDBURY,273710000,282670000,294934000,988520,1003530,1053760,4179620,4264670,4479000,16817200,17281500,18152600,110827000,114764000,121394000,48138500,49517300,52051100
FINLAND,OLKILUOTO,124770000,123037000,121428000,69497.4,71489.1,74092.6,250947,257407,266225,1138520,1167490,1208530,21319900,20702000,20819700,6412840,6625440,6851950
JAPAN,ONAGAWA,142710000,146516000,147836000,221167,228497,228774,2062910,2142830,2147680,5625420,5783500,5798170,74998500,77816300,77998200,17049900,17421200,17460900
SWEDEN,OSKARSHAMN,257557000,260962000,261481000,27695.9,26756.1,28081,147200,144419,151507,983474,993109,1042160,45655500,45985100,46290700,6696270,6990520,7316000
UNITED STATES OF AMERICA,OYSTER CREEK,142560000,154408000,170369000,341283,363081,400039,3158650,3357150,3704990,24177500,25371000,28060600,69075200,72665600,80190100,40751600,42632000,47095100
HUNGARY,PAKS,395659000,403303000,407126000,200052,189691,184215,1360240,1334830,1299030,7950770,8008660,7791600,115043000,114880000,114073000,30316300,30176300,29964700
UNITED STATES OF AMERICA,PALISADES,170419000,184342000,203450000,105979,109705,120889,987890,1044080,1151410,9044300,10471500,11578200,61394900,65590400,72403000,26750800,29043500,32079500
UNITED STATES OF AMERICA,PALO VERDE,53237700,64477800,71223300,9435.96,15145.2,16744.4,773850,1243180,1374860,2132490,3414640,3773790,25615500,31366200,34665000,3961030,6241850,6897930
FRANCE,PALUEL,322848000,332739000,347707000,133534,136235,144369,1390820,1422820,1507970,6589400,6763400,7153280,151982000,157649000,164474000,53658400,54795500,57785000
UNITED STATES OF AMERICA,PATHFINDER,76953100,84297200,93033000,158011,167510,185167,263022,278906,307977,756727,798345,879754,15460200,16436500,18130700,3679360,3939280,4345750
UNITED STATES OF AMERICA,PEACH BOTTOM,154967000,167880000,185288000,293991,317509,350633,4258770,4522440,4994550,16296100,17163700,18954700,85169900,90472200,99854600,41057100,43193300,47711600
FRANCE,PENLY,327471000,337516000,352366000,168530,171890,182195,1254460,1282630,1359440,13047000,13350200,14130100,159681000,165856000,172714000,54939000,56115000,59161900
UNITED STATES OF AMERICA,PERRY,170291000,184100000,203185000,243290,246818,272862,2094140,2124890,2349240,6055550,6216000,6861080,84302100,89951800,99272300,27677400,29386700,32440800
GERMANY,PHILIPPSBURG,402563000,412051000,424273000,1609780,1712140,1706190,5934790,6328650,6315580,18887800,20064900,20123000,188395000,193938000,199572000,61971500,65082300,65856900
CANADA,PICKERING,157241000,169013000,186536000,1744180,2032110,2249410,4519840,5278730,5841500,8743640,9845140,10872300,85380400,89676100,98984700,13436300,14761700,16274000
UNITED STATES OF AMERICA,PILGRIM,111015000,118121000,130300000,245067,251305,277046,4120400,4267090,4710260,7648370,7934310,8759460,57423800,59851500,66076700,18960700,19573700,21604900
UNITED STATES OF AMERICA,PIQUA,181285000,196591000,216959000,206683,211602,233208,1618360,1661060,1833270,6608050,6862670,7572810,71928200,77424200,85446500,24593300,25776400,28459600
UNITED STATES OF AMERICA,POINT BEACH,150381000,161610000,178362000,77913.4,79466.2,87534,658154,688963,760934,2422740,2578010,2849030,44746500,48011700,52996900,15262700,16795600,18547900
CANADA,POINT LEPREAU,77827600,81877700,90377400,18745.5,18868.7,20911.4,171325,173518,191600,457527,462835,510623,18621800,19377900,21391600,2112160,2151200,2374160
UNITED STATES OF AMERICA,PRAIRIE ISLAND,94697300,102492000,113112000,88475.8,95026.3,104821,2273950,2490840,2754680,3901890,4245050,4690050,27445600,29762600,32853600,6647380,7158770,7895600
CHINA,QINSHAN,808445000,906681000,966557000,1029280,1155820,1234800,10446700,11776800,12580700,41766900,47293800,50521700,226309000,252506000,269816000,93688800,105361000,112549000
UNITED STATES OF AMERICA,QUAD CITIES,132396000,144757000,159718000,229875,231520,255472,630053,632871,697543,2660160,2669660,2940520,50435600,53969600,59571800,16732300,18227800,20132200
UNITED STATES OF AMERICA,R.E. GINNA,150143000,161151000,177855000,523434,529890,583126,1190630,1210980,1330890,4378410,4537910,4986500,91309100,95863300,105822000,16558200,17870000,19688400
INDIA,RAJASTHAN,780956000,957012000,1128870000,360875,381439,443880,2994530,3486060,4057090,11157200,13171900,15328300,261869000,327942000,382004000,55657000,64985200,75634600
UNITED STATES OF AMERICA,RANCHO SECO-1,48418000,59439300,65612500,265187,284011,312952,2604350,2803290,3089200,8416460,10430700,11503900,27363500,32294900,35636500,11177300,13714000,15114200
GERMANY,RHEINSBERG,391919000,398681000,406018000,133520,126365,125813,2515240,2447030,2437350,9100790,8851630,8812860,143976000,148015000,149075000,36248000,36152700,36180000
SWEDEN,RINGHALS,307048000,313558000,319227000,91086,95654.2,100466,950040,990177,1040180,2616600,2729250,2849730,43418800,44594500,45385000,10553200,10954000,11414600
UNITED STATES OF AMERICA,RIVER BEND,94033600,108964000,120243000,99221.2,102453,113093,746425,772278,852367,2781010,2899040,3199490,23880600,27543700,30396800,6429480,6847300,7555770
CANADA,ROLPHTON NPD,136041000,144712000,159724000,7311.78,7528.35,8225.82,51006.1,55011.2,60339.3,256808,277178,304292,30400700,32555500,35888400,5156960,5622160,6196830
UKRAINE,ROVNO,328559000,325478000,318879000,126735,125355,116038,825677,817533,758555,3496220,3451390,3218760,91303400,89412200,85624300,18511600,18081000,17128700
FRANCE,SAINT LAURENT,339613000,349738000,365837000,233949,244870,259712,1125800,1170690,1241280,13197100,13546700,14361200,149278000,155056000,162024000,28648800,29503900,31274300
UNITED STATES OF AMERICA,SALEM,151475000,164214000,181250000,322350,344677,381157,4363780,4630890,5117910,15130900,16032500,17704400,80574600,85575700,94458500,41235000,43568300,48131300
UNITED STATES OF AMERICA,SAN ONOFRE,46000700,55775300,61599700,493139,538878,594897,5740500,6274020,6929200,18105100,19998000,22106500,28394300,33875800,37419200,20601100,23206700,25653200
CHINA,SANMEN,722862000,811896000,865502000,514466,579498,619054,4301260,4827040,5156640,16181800,18371800,19624700,188555000,212470000,227232000,60464400,68482800,73153500
SPAIN,SANTA MARIA DE GARONA,253950000,267946000,288903000,62570,62756.3,70715.9,1939130,1904320,2145620,4063460,4021890,4519900,50374200,51934700,57273700,14375700,14666700,16438300
UNITED STATES OF AMERICA,SAXTON,162402000,175903000,194136000,88225.5,89190,98036.8,784688,792295,871435,5003100,5062720,5578820,93040200,98988200,109256000,27599100,28655000,31611900
UNITED STATES OF AMERICA,SEABROOK,110058000,116798000,128907000,367260,380275,420074,3759300,3930520,4341510,8217330,8546300,9434740,56314000,58593300,64683900,16198600,16701700,18417900
UNITED KINGDOM,SELLAFIELD,221957000,229950000,238815000,108139,111325,116792,864326,900028,944636,11232700,11716600,12309300,67249300,69434500,73553200,32050200,33545900,35564300
JAPAN,SENDAI,361967000,391514000,409257000,225948,226526,227148,1690040,1687280,1691800,5887350,5879840,5894780,62162100,61766500,62836200,14769500,14871100,14905700
UNITED STATES OF AMERICA,SEQUOYAH,177898000,197282000,217755000,341199,401534,442787,762058,912404,1006020,3091100,3691870,4071260,45478500,51580500,56900000,13631400,16100500,17768800
UNITED STATES OF AMERICA,SHEARON HARRIS,169266000,185685000,204956000,276645,343340,379329,1579800,1941340,2143590,4003390,4852310,5353740,45748000,51459600,56780600,12063900,14417600,15905400
JAPAN,SHIKA,211823000,223678000,228899000,193940,193655,193781,1926730,1943920,1948650,4352000,4407840,4418700,102697000,105859000,106103000,54789800,56515900,56646600
JAPAN,SHIMANE,283006000,301529000,312115000,431264,424731,425681,944488,932475,934535,6128850,6190510,6203780,123791000,128577000,130691000,35292600,35741400,35824900
"KOREA, REPUBLIC OF",SHIN-WOLSONG,495170000,534914000,561665000,1318780,1256920,1314130,5324980,5112150,5343530,12948700,12442300,12996500,103758000,109948000,113011000,41695300,42765000,44318100
UNITED STATES OF AMERICA,SHIPPINGPORT,169819000,184044000,203117000,404705,401936,443428,3099810,3096040,3415330,7837920,7883740,8700250,94372100,100723000,111176000,20035900,20656400,22782800
UNITED STATES OF AMERICA,SHOREHAM,126846000,135492000,149519000,620779,637123,703657,4553450,4692550,5185560,22133600,23036300,25465100,69687400,73076600,80662800,40757000,42401300,46833100
UNITED KINGDOM,SIZEWELL,314163000,323848000,336617000,184830,191200,200678,1481610,1526100,1601910,12126700,12309200,12932900,153878000,159841000,166367000,61427800,63465700,66679000
RUSSIAN FEDERATION,SMOLENSK,225360000,219630000,210507000,96345.6,92426.5,87971.9,338983,327171,312105,2401830,2314920,2210940,68486900,65314400,62020200,11535500,10673300,10182100
UNITED STATES OF AMERICA,SOUTH TEXAS,111150000,127301000,141047000,28476.7,34934.6,38425,190015,235667,259689,3587150,4490290,4962860,25047500,29854600,32990500,7756210,9837690,10859900
UKRAINE,SOUTH UKRAINE,296138000,297209000,294298000,150433,142930,132152,626586,577581,534372,3706660,3410270,3162640,76755700,72918400,68087100,22207900,21031300,19310300
FRANCE,ST. ALBAN,391301000,405522000,425988000,565166,581892,616969,3261230,3392680,3597070,7206120,7537180,7990880,117994000,122358000,128662000,23826100,24796100,26259600
FRANCE,ST. LAURENT,339627000,349753000,365851000,238662,249803,264943,1125040,1169870,1240420,13226400,13576800,14393100,149295000,155074000,162041000,28649500,29504400,31274900
UNITED STATES OF AMERICA,ST. LUCIE,64389000,75614000,82551700,255011,311320,342852,702730,871357,961337,3061820,3843180,4245130,18480800,22439000,24289600,10746400,13489000,14895100
GERMANY,STADE,375441000,383982000,393578000,1058330,1113050,1107840,4290280,4521570,4550700,9816220,10322100,10401900,130507000,134117000,136077000,37564800,38740200,38997600
UNITED STATES OF AMERICA,SURRY,159373000,174063000,192105000,261419,375917,415111,1507960,1961970,2168020,2874140,3514860,3880810,63400300,68060300,75134300,15046900,16921200,18676100
UNITED STATES OF AMERICA,SUSQUEHANNA,152016000,164156000,181181000,281800,281341,309656,1365330,1369010,1508240,8672480,8911870,9831700,89461900,94417000,104224000,45619100,47567400,52511700
CHINA,TAISHAN,575483000,653428000,707083000,184476,274702,293441,3794960,5076410,5502700,31804300,41500700,44528000,150984000,183312000,196191000,61722200,80251900,86074100
JAPAN,TAKAHAMA,204071000,215382000,220073000,191499,196111,196360,4417200,4518790,4528080,29251600,29976500,30049200,115795000,118876000,119402000,47655000,48749100,48859100
INDIA,TARAPUR,568977000,700672000,820686000,356672,458057,534173,6036900,7790780,9082710,23403000,30369900,35394000,152235000,189151000,220163000,53975200,69925300,81418700
CZECH REPUBLIC,TEMELIN,425787000,430780000,436168000,254909,266455,274528,991837,1050850,1079120,7572220,7424220,7610650,173331000,176617000,178068000,38903900,39456100,39959600
UNITED STATES OF AMERICA,THREE MILE ISLAND,157600000,170581000,188270000,741813,758846,836770,2188280,2245640,2476740,14306300,14985000,16546100,89818400,95389100,105285000,42297800,44241300,48860000
GERMANY,THTR,381862000,391096000,402226000,1004030,1049580,1045430,7922740,8305350,8275210,24274200,25449600,25483100,172723000,177934000,182371000,71117200,74231200,75427400
CHINA,TIANWAN,826843000,914475000,974481000,848937,899370,960498,6005940,6371370,6804590,27038700,28913200,30880600,363751000,400822000,428166000,106586000,115666000,123553000
BELGIUM,TIHANGE,368102000,377885000,391130000,791654,809753,848910,5677280,5833250,6080950,23203800,24022800,24834600,184331000,191196000,197327000,74484800,77617200,80049800
JAPAN,TOKAI,150073000,153861000,155307000,888107,920516,922427,3878610,4060940,4069380,35152000,36904600,36992000,91898200,95015600,95236700,52762100,54998500,55127000
JAPAN,TOMARI,151066000,157543000,160496000,74485.2,75763.7,75769.5,1834200,1868470,1875900,3778170,3820760,3834210,15564900,15673700,15675700,6685860,6734990,6751580
UNITED KINGDOM,TORNESS,212926000,220168000,228393000,54709.2,55687.9,58398.4,1413310,1442980,1515530,6061800,6232750,6547760,59857500,61838400,65511000,19109500,19879100,20885600
UNITED KINGDOM,TRAWSFYNYDD,235271000,243738000,253839000,95887.7,96833.9,101559,973233,991396,1041040,11534700,12056200,12679700,79903700,82507000,87365100,42509400,44114200,46730600
FRANCE,TRICASTIN,385850000,400678000,422047000,274322,290696,308113,1515500,1616740,1713510,6290040,6744720,7150150,96492700,99871000,105841000,21110200,22159600,23481400
SPAIN,TRILLO,192124000,204888000,224062000,14678.3,14736.8,16606.5,451616,480880,541859,5910150,6306780,7106000,53806800,55735100,61995900,16219900,16744300,18854600
UNITED STATES OF AMERICA,TROJAN,28593500,35087800,38703100,119273,136266,150083,1539140,1810270,2000450,3162240,3817350,4215990,11499700,14081200,15541700,6813980,8356280,9226420
JAPAN,TSURUGA,202108000,213187000,217718000,251505,261624,262308,2506410,2582500,2588990,28631600,29421900,29493100,109056000,112350000,112627000,50519500,51782500,51898800
UNITED STATES OF AMERICA,TURKEY POINT,60430100,71990100,79135600,392478,493424,546399,2336910,2946650,3262010,3929690,4986950,5516850,19083800,22726200,24403300,6244710,7779830,8559500
"KOREA, REPUBLIC OF",ULCHIN,510141000,551133000,578981000,80211.4,77066.3,80562,611861,597166,623726,4440360,4490700,4689970,95288700,102096000,105622000,41143200,45196000,47213700
GERMANY,UNTERWESER,368892000,377868000,388144000,510880,537030,572920,2476190,2613780,2720840,10685900,11312400,11429000,132874000,136567000,138950000,43323500,45329400,45874200
GERMANY,VAK KAHL,406031000,415412000,427177000,1827590,1921540,1914350,5946640,6269960,6246660,17222800,18135300,18071500,186159000,191699000,196877000,70112000,73164900,73687000
UNITED STATES OF AMERICA,VALLECITOS,46874900,57578800,63562000,1067870,1328320,1466500,5332950,6961990,7686790,8685580,10680400,11781200,27534400,31698900,34977600,11190800,13706000,15106000
SPAIN,VANDELLOS,266061000,281272000,302919000,142085,149871,168768,725213,765144,861629,5837430,5996180,6753950,52481800,56213300,62697200,13630700,14307200,15986700
UNITED STATES OF AMERICA,VERMONT YANKEE,120766000,128573000,141898000,130556,133085,146514,1118770,1148730,1265250,10319700,10655900,11752300,70344700,73987400,81680300,33904600,35205900,38875300
RUSSIAN FEDERATION,VILYUCHINSK,141911000,137868000,133762000,3748080,3386340,3239450,4859170,4368660,4176880,5480590,4884190,4678550,23475400,22196400,21560000,9019310,8281210,8047670
UNITED STATES OF AMERICA,VIRGIL C. SUMMER,163051000,179448000,198059000,102097,120274,132825,788302,914897,1009410,4049760,4790550,5287090,36057300,42572200,46961600,13930400,16949100,18704000
UNITED STATES OF AMERICA,VOGTLE,155866000,171921000,189371000,27952.3,33164.3,36563.5,513151,625075,689087,2070630,2520000,2778530,34540300,41413200,45674700,11277600,13988000,15438300
RUSSIAN FEDERATION,VOLGODONSK,188235000,189024000,186985000,172912,171940,164724,417367,412034,392358,1271710,1261250,1199580,46740800,45387000,42920900,11238700,11092900,10561400
UNITED STATES OF AMERICA,WATERFORD,97451400,113388000,124819000,318856,331302,366342,1817550,1890930,2091020,2882320,3003080,3318520,19304900,21942800,24211200,5561060,5896630,6510880
UNITED STATES OF AMERICA,WATTS BAR,179391000,198481000,219071000,72839,85917.1,94727.3,721777,846611,933386,2439230,2869120,3162390,46010900,52016800,57377900,14144300,16610000,18330600
UNITED KINGDOM,WINFRITH,289521000,298536000,312195000,470878,482616,506709,2078610,2128110,2234940,10464300,10631400,11166900,113481000,117472000,124209000,41632200,42673000,44875300
UNITED STATES OF AMERICA,WOLF CREEK,108642000,121726000,134332000,11097.7,11930.7,13145.7,143992,155087,170725,2364340,2521920,2785250,22131400,23897300,26358900,6582610,7065900,7797200
"KOREA, REPUBLIC OF",WOLSONG,495412000,535190000,561962000,1311070,1249580,1306450,5554080,5330530,5571790,12961900,12452300,13006900,103705000,109890000,112950000,41509600,42517000,44056900
GERMANY,WUERGASSEN (KWW),391652000,400543000,410756000,329718,350549,349058,3555860,3732070,3716310,15197900,15814300,15752800,160932000,166111000,169537000,67700600,70080800,70471300
UNITED KINGDOM,WYLFA,223247000,231420000,241103000,63351.1,63881.4,67050.7,304627,308587,324078,7461390,7855160,8484630,67591200,69732400,73909600,36627600,38245600,40643400
CHINA,YANGJIANG,557032000,629419000,679747000,155127,202813,216504,1936720,2608260,2784830,11118400,14989000,16090300,147985000,179994000,192855000,68115100,87136800,93428600
UNITED STATES OF AMERICA,YANKEE,123430000,131527000,145162000,87870.5,89055.3,97915.2,1301620,1321600,1453400,7468490,7692030,8476870,72190800,75998700,83899000,35873400,37247000,41124300
"KOREA, REPUBLIC OF",YONGGWANG,649425000,710033000,750775000,167572,163871,171276,3258500,3095590,3233870,8736810,8345530,8714530,98851500,106521000,111216000,42866100,46496100,48569700
UKRAINE,ZAPOROZHE,273432000,274834000,272561000,291358,344814,319661,1691720,1650210,1534600,6086980,5715220,5308760,64881800,61930000,57817000,20624400,19361900,17990600
UNITED STATES OF AMERICA,ZION,162525000,176001000,194245000,491975,686516,759273,6063350,7092240,7846240,11462200,12866900,14229500,55210000,58848500,64958700,19702800,21460200,23696900